sentence,label
New stuff is hid from the parent units.,0
"There was no wit in it, only labored jokes.",0
The characters are fun to watch and communicate something beautiful about nature.,1
It remains perfectly satisfied to remain the same.,0
The filmmakers could dredge it up.,0
It's too bad that superficial treatment is the way to go.,0
The director of movies such as patriot games can make a small film with an emotional wallop that makes a big difference.,1
It's sexy.,1
A depressed fifteen-year-old has suicidal poetry.,0
They are more thought out than other right- thinking films.,1
Going to absurd lengths makes me sick.,0
For the ones who say that their movies aren't as good as they were used to be.,0
The part where nothing is happening.,0
I was very sad about how horrible this movie was.,0
lend some dignity to a dumb story.,0
The greatest musicians,1
Cold movie.,0
with his usual intelligence,1
There is a redundant concept.,0
To cast an actress with the face of a young woman in order to get her to agree with what she is saying is very successful.,1
It's even better than the original.,1
"If you can, watch it for Karen black who's fringe feminist conspiracy theorist name is dirty dick.",1
A happy expression on your face.,1
It comes from brave performances.,1
It excruciatingly is excruciatingly sad and incredibly sad.,0
An imaginatively mixed cast.,1
"Which one is worse, the part where nothing is happening or the part where something is happening?",0
In world cinema,1
That viewing alternative is very good.,1
The plot is just plain boring from start to finish.,0
The action is dull.,0
All cylinders.,1
"There is a film that has little interest for you, which works as a preachy and poorly acted movie.",0
The film was by far the greatest flop of the year.,0
sit through,0
The funniest male in this movie has a clone who uses a theme throughout the film.,1
"I like that it's about real issues that couples face in marriage, rather than silly tales.",1
They are heroes.,1
unaware of existence of the film,0
very sharply.,1
"In the core of a shaggy dog tale, is that it goes nowhere, that's classic nowheresville.",0
Sometimes it's not dry.,0
"I want to count but, already, they have been recycled more times than I care to count.",0
"He suggests that with his fourth feature, he covers this territory.",1
A 40 million version of a game.,0
Stunning and minimalist.,1
Cross swords with the strongest of them.,1
As a feminist conspiracy theorist.,0
He shows once again that he has the charisma that helped him land the role in the film.,1
It was disappointing,0
The atrocities.,0
The mess has looked just like anything we have known.,1
Many pointless things.,0
It's Beautifully.,1
It was well-worn situations.,0
a doesa,0
Poor ben bratt would find fame in the future if mapquest sent him point-to- point driving directions.,0
As subtle and touching as the boy's room is.,1
A legend begins,1
It was much less sophisticated and far lighter.,0
The movie has a lot of funny stuff.,1
