sentence,label
I'm giving up on this one.,1
I'm giving up if I have one more pseudo generalization.,1
"The more we study them, the more crazy they get.",1
The facts are getting murkier.,1
I'll make you a drink.,1
The plants were watered flat by Fred.,1
Bill walked out of the restaurant.,1
We're dancing outside.,1
The metal was hammered by Herman.,1
The play was laughed at by the critics.,1
The pond was cold.,1
Bill walked out of the room.,1
The gardener watered the flowers.,1
The gardener watered the flowers.,1
Bill broke the bathtub.,1
Bill broke the tub.,1
They drank from a bottle.,1
They drank at the bar.,0
The professor talked about the subject.,1
The professor talked about his students.,0
We yelled loudly.,1
We yelled at each other.,0
We yelled at Harry.,0
Harry coughed up phlegm.,1
Harry coughed.,0
Harry coughed us up.,0
Bill went into the forest.,1
We traveled from South Dakota to SF.,1
Fred tracked the leak's source.,1
John danced in the room.,1
Bill urinated out the window.,1
Bill coughed out the window.,1
Bill was bleeding on the floor.,1
The toilet fell into the kitchen.,1
Bill ate on the floor.,1
Bill drank from the hose.,1
The metal hammers are easy to use.,1
They made him president.,1
They made him angry.,1
They made him angry.,0
They made him president.,0
They made him tired.,0
He was made into a monster.,1
The trolley was moving through the tunnel.,1
The wagon was moving down the road.,1
The bullets hit the house.,1
The knee replacement candidate was not happy.,1
The car drove down the road.,0
The dog barked.,0
The dog barked as it left the room.,1
Bill whistled his way past the house.,1
The witch disappeared into the forest.,1
Bill went down the road.,1
The witch vanished into the forest.,0
The witch went into the forest and vanished.,1
The building is large.,1
The building is tall.,0
The building is taller and wider than that one.,1
The building was taller and wider than that one.,1
The building grew taller.,1
The building is taller than the other side.,0
This building was better than that one.,0
This building is not the same as that one.,0
Bill was in the cave.,1
Bill was in the cave for hours.,0
Bill pushed Harry off the sofa.,0
Bill was on the river for hours.,1
Bill was floating down the river.,1
Bill pushed Harry along the trail.,1
Bill pushed Harry.,1
The road went down the hill.,1
The rope was stretched over the pulley.,1
The rope was stretched over the pulley.,1
The rope was stretched over the pulley.,1
Sam was freed.,1
Sam cut his finger to get free.,1
Bill cried to sleep.,1
Bill cried to sleep.,0
Bill squeezed himself through the hole.,1
Bill wanted to sleep.,1
Bill squeezed the puppet.,1
Bill told Sue to sleep.,1
The elevator moved to the ground.,0
The phone could ring silly if it rang.,1
She yelled loudly.,0
Ted was crying to sleep.,0
The tiger died.,1
We were overjoyed when he coughed awake.,1
John coughed and cursed while rubbing his nose.,1
John and Bill were playing on the bank of the lake.,1
Ron yawned.,1
She coughed as the leaf hit her.,1
The worm was on the carpet.,1
The chocolate melted on the carpet.,1
The ball was loose.,0
Bill wriggled free.,1
Aliza loosened her tooth.,1
The off center spinning flywheel loosened up.,1
"The more you eat, the less you want.",1
You want to eat less if you eat more.,1
You want less when you eat more.,1
You want less as you eat more.,1
The least you eat is what you want.,0
"The more Fred admires her, the more she gets angry.",1
"The more you eat, the less you want.",1
"The more Fred admires Sue, the more she gets angry.",1
"I think that the more you eat, the less you want.",1
"I'm not surprised that the more you eat, the less you want.",1
"The more you eat, the less you want.",1
It is not clear if you should eat more or less.,1
I want to explain why you eat more and less.,1
I want John to pay more when he eats.,1
I want John to pay more for his food.,0
I want John to pay more so he eats more.,1
I want John to pay more so he eats more.,0
"You get angry when we eat, don't you?",1
"You get angry, the more you eat.",0
How fast a flow appears in the river if it has rained harder?,0
How fast a river appears after a hard rain?,1
How fast do you run when it rains?,0
How fast do you run when it rains?,1
How fast a flow do you see in the river when it rains harder?,1
How fast a flow do you see in the river when it rains harder?,0
How fast a flow appears in the river when it rains harder?,1
How fast a river appears when it rains harder?,1
How fast a river flows when it rains harder?,0
How fast a river flows when it rains harder?,0
"How much harder has it rained, the quicker the river flows?",1
"When you see a faster flow in the river, how hard has it rained?",1
Keep your mouth shut when John eats.,0
John keeps his mouth shut when everyone eats.,0
Keep your mouth shut when John eats more.,1
"As John eats more, keep your mouth shut.",1
"The more John eats, keep your mouth shut.",1
"Everyone keeps their mouth shut, the more John eats.",1
I can see how he will get fat as he eats more.,0
Bill would imagine getting fat.,1
"Bill imagines the more he eats, the bigger he gets.",0
Fred thinks that Joe will get fat the more he eats.,1
"The more you eat, the more careful you should be.",0
It is important to be careful with your food.,0
It is important to eat enough to be careful.,0
"The more you eat, the more you need to be careful.",0
It is important that you eat enough to be careful.,0
It is important to eat more and be more careful.,0
It is important for you to be careful when you eat.,0
It is important to eat a lot to be careful.,0
It is important to be careful with your food.,0
It is important that you be careful with your food.,1
It is important to be careful with your food.,1
Mary can answer the question quickly.,0
I can imagine Mary destroying the Jeep.,0
I can see him getting fat if he eats more.,0
It's not obvious if Mary listens to the Dead.,0
Mary listens to the Dead and gets depressed.,0
Mary listens to a band and gets depressed.,1
Mary gets depressed if she listens to the Dead.,1
Mary gets depressed when she listens to the Dead.,1
Mary gets depressed if she listens to the Dead.,1
Mary listens to the Dead.,1
Mary got angry when she looked at pictures more than once.,1
Mary got angry when she looked at more pictures.,0
Mary listens to the Dead.,1
The stakes are higher than his expectations are.,1
"The higher the stakes, the lower his expectations are.",1
The stakes are higher for him.,1
The stakes are higher for him.,1
The stakes are higher when his expectations are lower.,0
The stakes are higher when his expectations are lower.,0
"The more obnoxious Fred is, the less attention you should pay to him.",1
"The more obnoxious Fred, the less attention you should pay to him.",0
"The more obnoxious Fred is, the less you should pay attention to him.",1
"The more obnoxious Fred is, the less you should pay attention to him.",0
His expectations are lower than mine.,1
John was more obnoxious than Fred.,1
"No matter what the hotel is, you should always lock your door.",1
"You should always lock your door, no matter how fancy the hotel is.",1
"I don't intend to lock the door, no matter how fancy the hotel is.",1
I don't plan to lock the door.,0
I'm going out no matter what the weather is like.,1
"Wherever that storm might be, I'm going out.",1
I'm going out wherever the storm is.,0
Mary says that Bill helped Fred to discover the truth.,1
Mary knows a man that eats less than her.,0
He goes to the doctor when he gets too fat.,0
"The more he eats, the more he dislikes it.",0
He reads more when I ask who he will give the books to.,0
I ask him what he will give to people more often.,0
He will be safer if he says the letter carefully.,1
He knows a man that is careful with the letter.,0
John gets an angrier when he meets more geniuses.,1
John gets angrier when he meets geniuses.,0
"The more people you say will buy tickets, the better.",1
"The more people you say will buy tickets, the better.",0
"The more people you say will buy tickets, the happier I'll be.",1
"Sally has taught Joe to appreciate linguistics, but the more I talk to him, the less he appreciates it.",1
He knows a woman that gets if he eats more.,0
He goes to a doctor when he gets fat.,0
"The more he eats, the bigger he gets.",0
I wonder who he will give the books to.,0
I wonder what he will give to people who read more.,0
I know a man that will say the letter when you call.,0
"The more geniuses John meets, the richer he gets.",1
"The richer John gets, the more geniuses he encounters.",0
"He thinks the more articles he reads, the less people will go into linguistics.",1
"He thinks that the more articles he reads, the less people will go into linguistics.",0
He thinks that the current circumstances will make fewer people go into linguistics if he reads more articles.,1
He thinks the number of people going into linguistics will go down if he reads more articles.,1
"The louder it gets, the more people arrive.",1
"The louder it gets, the more people arrive.",1
"The more people you give beer to, the sicker they are.",1
"The more people you give beer to, the more they get sick.",1
"The louder it gets, the more people arrive.",1
"The louder it gets, the more people arrive.",1
"The more people you give beer to, the more sick they are.",1
He becomes arrogant when he buys more pictures of John.,0
John becomes arrogant when he buys more pictures of himself.,1
My brother arrived on the train.,1
My brother arrived on the train.,0
"The happier we are, the more people pay attention to us.",0
"The more people who like to watch it, the more attention they pay.",0
Susan hates Bill the most when he smokes.,1
Susan hates Bill more when he smokes.,1
Susan hates Bill more when he smokes.,1
Susan hates Bill a lot more when he smokes.,1
Fred became crazy after Janet left.,1
Fred became crazy after Janet left.,1
Fred became crazy after Janet left.,1
"The more often Janet left, Fred became all the crazy.",1
Susan hates Bill when he smokes.,1
Susan hates Bill more when he smokes.,0
Susan hates Bill more when he smokes.,0
Everyone gasped when they saw how much you ate.,1
Everyone gasped when you ran so fast.,1
Everyone gasped when they saw that the dog was so smart.,1
I know how much you ate.,1
I know how fast you ran.,1
I know how smart a dog you bought.,1
He got sick because he ate so much.,1
He got sick because he ate so much.,1
"The more you eat, the more you want.",1
You eat as much as you want.,0
You want more when you eat.,0
I wonder how much you ate.,0
I wonder how many people he talks to.,1
John gets angry when he has to wait longer.,1
John gets angry if he has to wait.,1
John has to wait a long time.,0
"If John has to wait, he gets angry.",0
John becomes more embarrassed when pictures of him are in the news.,1
John becomes embarrassed when pictures of him appear in the news.,1
John becomes more embarrassed when pictures of himself are in the news.,1
John is more likely to be arrested if more pictures of him are in the news.,1
John is more likely to be arrested when pictures of him appear in the news.,0
John is more likely to be arrested if pictures of him appear in the news.,1
John is more likely to be arrested if pictures of himself appear in the news.,0
The stories about John seem to show up in the news when he gets upset.,1
The stories about John seem to show up in the news when he gets upset.,0
John is more embarrassed when pictures of him are in the news.,1
John is more embarrassed by the pictures that appear in the news.,1
John is more embarrassed by the pictures of himself appearing in the news.,1
John is more embarrassed by the pictures of himself that show up in the news.,1
John gets upset by the stories about him that show up on the evening news.,1
John gets upset by the stories about himself that show up on the evening news.,0
Every senator will be corrupted if you give him enough time.,1
Every senator will be corrupted if you give him enough time.,1
We gave him the opportunity and he took advantage.,0
"If you don't give the senator enough time, he will be corrupted.",1
You should give any senator enough time to get rid of corruption.,1
You should give every senator the chance to succeed.,0
We gave any senator the chance and he succumbed to corruption.,0
We gave every senator the chance and he succumbed to corruption.,0
Every senator seems to become corrupt when he talks to lobbyists more.,1
Every senator is susceptible to corruption if lobbyists wine and dine them.,1
"The more time a senator spends with lobbyists, the more likely he is to be corrupted.",0
"The more lobbyists a senator talks to, the more corrupt he becomes.",1
"The more lobbyists a senator talks to, the more corrupt he becomes.",1
He seems to become more corrupt as the number of lobbyists he talks to increases.,0
He seems to become more corrupt as the number of lobbyists he talks to increases.,0
"If he talks to more lobbyists, every senator will become corrupt.",1
"If he talks to more lobbyists, any senator will become more corrupt.",1
Any senator seems to become more corrupt as he talks to more lobbyists.,1
He seems to become more corrupt if a senator talks to more lobbyists.,0
He seems to become more corrupt if he talks to more lobbyists.,0
He seems to become more corrupt as every senator talks to more lobbyists.,0
He seems to become more corrupt as he talks to more lobbyists.,0
"The quicker you solve this problem, the easier it will be to satisfy the people at corporate headquarters.",1
"The quicker you can solve this problem, the better you will satisfy the people at corporate headquarters.",1
The people at corporate headquarters are the sort of people who will be more willing to help you solve the problem.,1
"The quicker you can solve this problem, the better.",1
Who gave you pictures of your friends?,1
"The quicker you can solve this problem, the more satisfied the people at corporate headquarters will be.",1
"The quicker you solve this problem, the easier it will be to satisfy it.",0
Which problem will be easier to solve if you solve it sooner?,0
Which problem is more easy to solve the quicker?,0
Which problem will be easier to solve if you solve it sooner?,0
Who runs faster when it rains harder?,0
"The louder the speaker, the more angry you get.",0
How fast a flow do you see in the river when it rains harder?,1
They didn't tell me which problem I should solve first.,1
I have to ask which people at corporate headquarters I should ask if I want to get free of courage.,0
Which people at corporate headquarters do you think will be able to tell when it's time to buzz off?,0
"If you solve this problem, you'll be able to let the people at corporate headquarters know.",0
"If you solve this problem, you will be able to tell the people at corporate headquarters.",1
This is a problem that you can solve and you will be able to let the people at corporate headquarters know.,0
You will be able to put them on ice if you solve this problem.,0
They didn't tell me which problem I'll beat the competition faster.,0
"The sooner you solve this problem, the easier it will be to beat the competition.",0
John saw a man in a room.,1
Which room did John see the man in?,1
Who thought that Mary suspected that everyone liked Bill?,1
Sally could not be visited by John.,1
John could not visit Sally.,1
John was unable to visit Sally.,1
Why did John leave?,1
I hit the ball.,1
You hit the ball.,1
He hit the ball.,0
She hit the ball.,0
They hit the ball.,1
Is it not me going?,0
I am not going.,1
I don't know if I'm going.,1
I am not going.,0
Louise is not happy.,1
Louise likes not being happy.,1
Did not many books survive the fire?,1
Did no books survive the fire?,1
He hasn't paid taxes a lot.,1
Can he not pay taxes?,1
She doesn't see him.,1
She didn't see him.,1
She could not have been working.,1
Not left by Marianne.,0
Not. Marianne left.,0
He couldn't have been working.,1
He couldn't have been working.,1
He couldn't have been working.,1
You must not stop working.,1
He may have been working but not being productive.,1
He couldn't have been working.,1
Can he have been working?,1
Can he not have been working?,1
Can he not have been working?,0
John wrote books.,1
John is a writer.,0
John wrote books.,0
John did not write books.,1
John thinks that is nice.,0
John thought he was so happy.,1
John was rolled down the hill.,1
John kisses Mary.,0
John kisses Mary.,1
Who do you think John likes?,1
Did you ask Mary why John likes her?,0
Who do you think said that John likes?,1
How do you think Mary solved the problem?,0
How do you think Mary solved the problem?,1
John said that Mary solved the problem.,0
How do you think Mary solved the problem?,0
Which problem do you think Mary solved?,0
How did you think Mary solved the problem?,1
Mary hired someone.,1
Mary hired someone.,1
Mary hired someone and I resigned.,1
Mary wondered what Bill saw.,1
Mary thinks that John said that Susan liked him.,1
Mary thinks that John said that Susan likes to take pictures of herself.,0
Mary thinks that John said something that Susan likes.,1
You will be the weatherman if you don't believe me.,1
"Lynn did a magazine, and I rolled up a newspaper.",1
"Kathy likes astronomy, but she doesn't like meteorology.",1
The assistant district attorney will prove Jones guilty.,1
