sentence,label
One more cup of coffee and I'll be wide awake all night.,1
The longer she practices piano the more skilled she becomes.,1
Hour by hour the situation is becoming more complicated.,1
They baked us a cake for the party.,1
The children played happily outside.,1
The dog barked his way into the house.,1
The kids were playing in the park all afternoon.,1
The chef grilled the steak to perfection.,1
The children danced the night away.,1
The children played happily in the snow-covered park.,1
The cat jumped off the table.,1
The chef cooked the steak medium rare.,1
The cat chased the mouse around the house.,1
The storm tore the house apart into rubble.,1
The storm destroyed the entire neighborhood.,1
The storm flooded the town completely.,1
The magician mesmerized the audience with his incredible tricks.,1
The teacher explained the students.,0
They danced themselves silly.,1
They laughed themselves into a frenzy.,0
They painted the room red with excitement.,0
The children laughed themselves silly at the clown's antics.,1
The cat purred itself.,0
The cat meowed the family awake.,0
The cat chased the mouse under the table.,1
They hiked Trail 6 from LA to LV.,1
The detective traced the missing painting back to its original owner.,1
The cat slept peacefully on the windowsill.,1
The cat jumped over the fence.,1
The cat jumped onto the table.,1
The cat meowed loudly at the door.,1
The cat jumped over the fence and into the garden next door.,1
The cat slept on the couch.,1
The cat slept on the mat.,1
The children painted the walls blue yesterday.,1
She painted the house blue.,1
The loud noise made the baby cry.,1
The teacher allowed the students to leave early by dismissing them.,0
She caused him to win the race by cheering for him loudly.,0
He painted the house to blue.,0
She turned the old building into a modern art gallery.,1
The cat purred under the bed.,1
The children giggled in the playground.,1
The birds chirped loudly in the early morning.,1
The exhausted marathon runner limped across the finish line.,1
The cat meowed under the moon.,0
The cat meowed inside the house.,0
The cat purred its way onto the cozy blanket.,1
The cat sauntered its way through the garden.,1
The spaceship zoomed across the galaxy.,1
The cat stealthily crept under the porch.,1
The cat jumped over the fence with gracefulness.,0
The detective followed the suspect and eventually caught him red-handed.,1
The car is fast and shiny.,1
The cake is delicious and delicious.,0
The movie was longer but more entertaining than the book.,1
The road became busier and narrower as we drove further into the city.,1
The sun shone brighter and brighter throughout the day.,1
The boy runs faster and faster to catch the bus.,0
The book read more interestingly than the movie.,0
The dog barked louder than the cat meowed.,0
The cat pounced onto the table.,1
The cat slept under the tree all afternoon.,1
The cat chased the mouse around the house all day.,0
The cat chased the mouse around the house all night.,1
The cat lazily strolled through the garden.,1
Harry had been pushed along the trail by Bill for hours.,1
Bill guided Harry down the winding path.,1
The river meandered through the valley.,1
The car sped through the tunnel under the river.,1
The children painted the fence along the sidewalk.,1
The children watched the movie excitedly in the dark theater.,1
The cat groomed itself clean.,1
The cat escaped by clawing through the window screen.,1
The dog wagged its tail happily.,1
Sarah sang the baby to sleep.,0
The cat squeezed itself under the fence.,1
Sarah danced herself into exhaustion.,1
The cat jumped over the fence with grace.,1
The chef baked the cake to perfection.,1
The bookshelf organized itself in the corner of the room.,0
If the cat meowed it might meow itself hoarse.,1
He sang off-key.,0
The cat purred to sleep.,0
The tree fell during the storm.,1
She danced gracefully and the audience erupted in applause mesmerized by her performance.,1
The cat purred contentedly stretching out lazily in the warm sunlight.,1
The cat purred itself to sleep on the warm rug where it and the dog had their nap.,1
The dog wagged its tail happily.,1
He danced himself into a frenzy as the music filled the room.,1
The cat pounced onto the table.,1
The rain poured onto the sidewalk creating puddles everywhere.,1
The cat purred itself to sleep on the warm blanket.,0
The cat groomed itself clean.,1
The cat purred loudly waking up the entire household.,1
The brightly colored rapidly moving hummingbird darted between the flowers.,1
The faster he runs the quicker he finishes.,1
The more you practice the better you become at it.,1
The harder you work the more success you achieve.,1
The faster you run the quicker you'll reach the finish line.,1
The longer they study the better grades they achieve.,1
The faster you run the sooner you'll reach the finish line.,1
The harder that Mary studies the higher her grades become.,1
The faster you run the quicker you'll reach the finish line.,1
The sooner you start the faster you'll finish.,1
The faster you run the sooner you'll arrive at your destination.,1
The harder you work the more successful you become.,1
The sooner you start studying the better your grades will be.,1
The harder she studies the higher her grades will be.,1
The faster she runs the quicker she finishes her race.,1
She insisted that Tom study harder the earlier his exam approached.,1
The higher she climbs the more tired she gets.,1
The more he studies the better grades he gets doesn't he?,1
The faster you run the quicker you'll reach the finish line isn't it.,0
The more she studies the better grades she achieves.,1
The more I study the better my grades become.,1
The more you study the better grades that you will get.,0
The more she studies the better her grades become.,1
How many more books will you read the faster you finish each one?,1
How many times do you see that the more they practice the better they become at playing the piano?,0
The more we practice the better our performance becomes.,1
The more you practice the better your skills become.,1
The more he studies the better his grades become.,0
How many times faster does the car move when the accelerator is pressed down completely?,0
The more you practice the better a player you become.,1
How much further will you run if the finish line moves closer with every step you take?,1
The faster she runs the happier makes me feel.,0
The faster you run the quicker she loses her patience with you got it?,0
After Sarah finishes her exam let her go home early please.,1
While Sarah studies harder make sure to turn off the lights before leaving.,1
The faster you run the sooner you'll arrive at the party right?,1
Let's all keep our voices down the longer the meeting goes on alright?,1
The faster she runs the sooner her reaching the finish line.,0
Mary might easily have forgotten her keys.,1
The faster you run the sooner reaching the finish line.,0
Despite the rain pouring heavily she managed to finish the marathon.,1
The higher the temperature rises the quicker to melt the ice cream becomes.,0
The faster you run the quicker will be your arrival at the destination.,0
The harder you try the more successful to become.,0
The faster you drive the more quickly you will arrive at your destination.,1
The faster you run the quicker you'll reach your destination.,1
The faster he ran the sooner he arrived at the party.,1
The faster he runs the quicker his heart beats.,1
The faster you run the quicker you will reach the finish line.,1
The faster you run the quicker you will reach the finish line.,1
The more you practice the better you'll become at playing the piano.,1
The harder you work the better results you will achieve.,1
Quickly running down the street the cat chased the mouse.,0
With great skill the chef preparing a delicious meal for the guests in the kitchen.,0
If she would have studied harder she might have passed the exam.,0
If John had studied harder for the exam he might have passed.,0
Whether they will win the championship remains uncertain.,0
John watches horror movies and he can't sleep at night.,1
If John eats spicy food he will have heartburn.,1
Whenever John eats spicy food his stomach hurts.,1
The cat becomes anxious whenever it hears thunderstorms outside.,1
John feels anxious whenever he watches horror movies alone at night.,1
The longer he practiced the piano the more skilled John became.,1
The faster he ran reaching the finish line seemed impossible.,0
Mary feels anxious and she dances to relieve stress.,1
The more time she spends studying the higher her grades become.,1
The more time she spends at the gym the less energy she has for other activities.,1
The more they practice the better their performance becomes.,1
The more effort he puts in the better his results become.,1
The more she studies the better her grades get.,0
The more she studies the better her grades become.,0
The longer the meeting goes on the more exhausted I become.,1
The longer you study the better your grades will be.,0
The harder you work the greater your chances of success will be.,1
The further you go into the forest the quieter the sounds become.,0
Her achievements have consistently surpassed ours.,1
Sarah is much better at playing the piano than her brother is.,1
Despite the heavy rain they decided to go for a walk in the park.,1
Despite the heavy rain the team continued with their outdoor practice.,1
Despite the heavy rain they decided to have a picnic in the park.,1
Despite the heavy rain we decided to have a picnic at the park.,0
Despite the rain I'm going out.,1
I'll be there no matter how long it takes to get there.,1
Running through the park the trees swayed in the wind.,0
The longer the movie goes on the more confusing the plot becomes.,1
The faster you run the quicker you'll reach the finish line.,0
The happier she sings in the shower the louder her neighbors complain about the noise.,0
The longer that she studies the better grades she achieves.,0
The faster she runs the quicker he catches up.,0
The faster she runs the quicker he finishes.,0
The more frequently she practices the piano the more skilled she becomes.,1
The more beautifully she sings a song that touches the heart the more emotional the audience becomes.,0
The harder she studies the higher her grades are.,1
The longer she studies the more intelligent she becomes.,0
The sooner you finish your homework the sooner we can go out for dinner.,1
The more you eat the fatter you'll become.,0
The more effort you put into studying the better grades you will achieve.,1
The longer she studies French the more fluent in the language she becomes.,1
The faster he runs the earlier she sings a song.,0
The higher she climbs the colder she brings a jacket when she reaches the top.,0
The more they talk the louder that that they argue seems to become.,0
The faster she runs the quicker he eats his lunch.,0
The louder she speaks the more attention I can't believe how much she commands.,0
The taller the tree grows the faster we will climb it.,0
The more she studies the higher grades she achieves.,1
The more she studies the fewer mistakes she makes.,0
The harder he studies the more knowledge he gains.,1
The more cookies she bakes the happier her friends become.,0
The longer he studies the less time he believes he will need to complete the project by himself.,1
The longer they practice the better their performance will be at the upcoming competition.,1
The faster you run the quicker you'll reach the finish line.,1
The longer the movie goes on the more intense the plot becomes.,1
The harder you study the better grades you will achieve.,1
The earlier you leave the less traffic you encounter.,1
The longer she studies the better her grades become.,1
The longer I study the more knowledgeable I become.,1
The faster you run the quicker you'll reach the finish line.,1
The faster she runs the quicker she will reach the finish line.,0
The longer she practices the violin the more skilled she becomes.,1
The book that I read last night kept me up past midnight.,1
The book reading in the library is mine.,0
The faster you drive the more likely you will get a ticket.,0
The faster you drive the less time you have to enjoy the scenery.,1
Despite the rain Sarah decided to go for a run.,1
Despite the rain Sarah still went for a run in the park.,1
Each time Mary sings John's annoyance grows stronger.,1
Despite the rain Sarah insisted on going for a walk in the park.,1
After the storm passed Sarah felt much calmer.,1
After the storm passed the town slowly began to rebuild.,1
Despite the rain Sarah managed to finish the marathon.,1
The faster he ran the more quickly his heart raced.,1
The harder he studies the better grades he gets.,1
Never have I seen such a beautiful sunset before.,0
Despite the rain all the more she danced in the garden.,0
Not only did she win the race but she also broke the record.,1
Never before had I seen such a beautiful sunset.,1
Such heavy rains fell that the streets flooded within minutes.,1
I understand why she left early.,1
They understand why she left early.,1
The dog barked so loudly that the neighbors complained.,1
Such was her dedication that she worked overtime every day.,1
The faster you run the quicker you'll reach the finish line.,1
The faster you run the quicker you'll get there.,1
The faster you run you tire yourself out.,0
How many books she read last month surprises me.,0
I can't believe how quickly the time is passing by.,1
The more effort she puts into studying the higher her grades become.,1
Whenever she goes to the beach Sarah collects seashells.,1
The more tired she gets the less patient she becomes.,0
If Mary will have finished her project she will receive a promotion.,0
The harder she studies the better grades she achieves.,1
The faster you run the sooner you'll reach the finish line.,1
The harder she studies the higher her grades get.,1
The earlier you leave for the airport the less chance you have of missing your flight.,1
The faster she drives the sooner she will arrive at her destination.,0
The faster you drive the sooner you will reach your destination.,1
The fewer times she practices the piano the less likely she is to perform well at the recital.,0
The sooner that she finishes her work the sooner that she can go home.,1
The faster she runs the quicker that distance between them closes.,0
The longer she studies the more knowledgeable she becomes.,1
The faster he runs the quicker he reaches the finish line.,1
The longer she studies the better her grades become.,1
The harder she works the happier her boss becomes.,1
The longer she practices the piano the more confident her performances become.,1
The more tired she gets the less likely she is to finish her work on time.,0
If she had been given the chance each student would have excelled in the competition.,1
Provided with the necessary resources any student can excel in their studies.,1
Despite his reluctance the team managed to convince him and against all odds every member agreed to the new strategy.,0
No matter how hard you try she will always find a way to avoid confrontation.,1
When given the chance every student will excel in their own way.,1
Every student studies hard they will excel in their exams.,0
Despite her busy schedule the project manager managed to successfully complete all tasks on time.,0
Despite our efforts to provide detailed instructions the employees still struggled with completing the task accurately.,0
The harder he studies the more knowledgeable he becomes about the subject matter.,1
The faster he runs the sooner he will reach the finish line.,1
The more effort that each student puts into studying the higher their grades will be.,0
The higher the temperature rises the more uncomfortable it becomes to sleep.,1
The higher the temperature rises the more uncomfortable it becomes to sleep.,1
The higher the temperature rises more uncomfortable the room feels.,0
The bus arrived late causing many passengers to miss their connecting flights.,1
The more books she reads the more knowledgeable she becomes.,1
The faster she runs the more tired she becomes.,1
The longer the meeting drags on the less productive everyone becomes.,1
If the cat meows give it some food.,0
As the sun sets the children play in the park.,1
The faster you drive the sooner you will reach your destination.,1
The more effort you put into your studies the higher your grades will be.,1
The more you practice playing the piano the better your skills will become.,1
The faster you run the quicker you'll reach the finish line.,1
The harder you work the better results you'll achieve.,1
Whose book did you lend to the sister of?,1
The more you practice playing the piano the better your skills will become.,1
The faster you run the quicker you'll reach the finish line.,1
The faster you finish the project the happier the client will be with your work.,0
The faster you drive the sooner you'll reach your destination.,1
The more you eat the happier I become.,0
The more you eat the fuller you become.,1
How quickly will the team score the faster that they play together?,1
The more effort I put into studying the higher my grades tend to be.,1
The more I study the better grades I'll achieve.,0
The more you study the better grades you'll get in return.,0
The book that I lent you last month which you still haven't returned is one of my favorites.,0
The project that she presented at the conference was so impressive that the investors would be willing to offer her a partnership if she decides to expand it.,1
Running in the rain she laughed and danced freely without a care in the world.,0
The book that I read it yesterday was very interesting.,0
Before the meeting we need to decide who will present the proposal most convincingly whichever team member has prepared thoroughly.,0
The faster you eat the sooner you'll finish your meal.,0
The cat chased the mouse under the table.,1
What book did Sarah lend her friend yesterday?,1
Which book did Sarah believe that Tom thought that Rachel mentioned that everyone borrowed from the library?,1
Despite the heavy rain John managed to visit Sally.,1
What Mary needs to do is finish her project by Friday.,1
John didn't want to visit Sally.,1
Who will Sarah invite to the party?,1
The cat chased the mouse around the house.,1
The cat chased the mouse under the table.,1
The cat chased the mouse under the table.,1
The cat chased the mouse under the table.,0
The cat chased the mouse under the table.,1
Have not you seen him yet?,0
He is never eating sushi.,1
Didn't she tell you so?,1
They doesn't have any idea about the party.,0
Louise is unhappy isn't she?,1
Tom doesn't believe in ghosts does he?,1
Not much effort was put into the project was there?,1
Not a single student passed the exam did they not?,1
She rarely goes to the gym does she?,1
They shouldn't have left early should they?,1
He will not be going to the party tonight.,1
He avoided not going to the party.,1
He might not have been studying for the exam.,1
Marianne not have left.,0
Never he goes to the store.,0
They might not have been waiting for us.,1
They must have been studying all night.,1
They might not have even been considering such a drastic change.,1
They should not only not attend the meeting but also not inform anyone about it.,1
Not only did she not just forget but she also intentionally avoided mentioning it.,1
She might not have been studying for the exam.,1
Shouldn't they have been studying?,1
Shouldn't they have been studying for the exam?,1
Why hadn't they been informed about the changes earlier?,0
The cat chased the mouse around the house.,1
The dog chase the cat around the yard.,0
The cat chased mice in the garden.,1
John has never written any books.,1
The dog barks loudly when is hungry.,0
With a smile on his face John whispered to himself 'I am truly blessed.',1
Up the stairs danced Maria.,1
The cat chased quickly the mouse.,0
Despite the rain John always kisses Mary before leaving for work.,1
What do you believe the teacher will announce tomorrow?,1
What is the reason for him not being able to understand why she left?,0
What did you hear that she told him to bring to the party?,1
How does she ponder if John will have completed the project by tomorrow?,0
What made him believe that Sarah was the one who painted the mural?,1
Whose idea do you think it was that John mentioned Mary solved the problem to?,0
How can you believe that she will tell him the truth?,0
Is it true that the book I lent to Sarah is the one you told me that she misplaced?,0
Why do you believe that John will win the competition?,1
The company appointed a new manager yesterday.,1
Mary was heard to have hired someone.,1
Mary was hired before I resigned.,1
The professor asked which student of themselves had completed the assignment.,1
Whose book on history did Sarah claim that Mark mentioned that Emily borrowed?,1
The teacher believes that the student thinks that the principal heard that the janitor found a note from themselves.,0
The teacher believes that the students think that the project they completed together was successful.,1
If you had studied harder would you have passed the exam?,1
They cooked dinner and we did a barbecue?,1
James enjoys playing the piano but he doesn't guitar.,0
The chef baked a cake and the pastry chef will decorate cupcakes.,1
The cat will chase the mouse and the dog will fetch the ball.,1
Despite her fear she will skydive tomorrow.,1
They the park visited yesterday.,0
When will you be finishing the project?,1
Whose idea could have possibly led to such a brilliant solution?,1
Why did they believe what she said yesterday.,0
No student can determine how their performance will be evaluated by the teacher.,1
Each student was excited when their teacher announced the surprise field trip.,1
Whose car did the mechanic fix last week?,1
The idea that the dog chased the ball illustrates its playful nature.,0
Peter paints landscapes Sarah sculpts statues and Emily composes music.,1
The idea that Susan might have won the competition surprises everyone who knows her.,1
Despite their best efforts they had not found the missing key.,1
Why haven't they arrived yet?,1
Will she have been waiting for long?,1
Mary has been frequently seen by him.,1
She always gives her sister a ride to work.,1
She sings beautifully in the choir every Sunday.,1
Did you the book read yesterday?,0
It appears that the chances of Mary getting the promotion are high.,1
It appears as if Sarah will probably be late.,1
The cat appears to have been sleeping all day.,1
The cat meows that the food is ready to eat.,0
The cat seems chasing the mouse.,0
Why does she think what movie to watch?,0
What time did you arrive at the party last night?,1
What did he think that she believed the dog chased?,0
What delicious do you think whether she finds the cake?,0
Why the heck did they ask where to go?,0
They will have arrived by the time we get there.,1
The old man's hat looks stylish.,1
The cat chased the mouse.,1
Mary sang a song for her.,1
Mary considers her to be a talented singer.,1
Mary finds herself a talented singer.,1
To have completed the project in time would have required more resources than we had.,1
With her gone the project will be delayed.,1
To the beach went we on a sunny day.,0
To the park we will go tomorrow.,0
To the party last night she should have gone.,0
The decision to have been made by him was unexpected.,0
Sarah doubts whether she should go to the party.,1
They saw him at the store yesterday.,1
She asked him singing.,0
The cat ate the mouse quickly under the table.,1
What did you believe that Sarah wanted?,1
Whose car do you believe that Sarah saw driving recklessly?,1
Whose book do you believe that the teacher assigned to be read by next week?,0
Whose car did you see parked in front of the house?,1
The man found a wallet on the street.,1
The book was read by her last night.,1
All chocolate eat the children.,0
The cat has always chased the mouse.,1
The dog has quickly devoured all the treats.,1
In general she comprehends the complexities of the situation.,1
Despite the challenging circumstances she managed to successfully complete the project on time.,1
Despite the heavy rain she decided to go for a walk in the park.,0
Running through the park his shoe got stuck in a puddle.,0
The teacher demonstrated how to solve the math problem on the board.,1
The teacher demonstrated why we must follow safety procedures in the laboratory.,1
They were discussing whether we should repaint the walls.,1
She asked to borrow his car keys.,0
The cat knocked over the vase.,1
She handed the assignment in.,1
Mickey looked them up in the dictionary.,1
The cat played with the children in the backyard.,1
The children played happily in the park yesterday.,1
It is believed by many that she has won the competition.,1
Sarah messes things up quite frequently.,1
The cat quickly jumps over the fence high.,0
Who did Sarah believe saw the accident?,1
The movie which she recommended was fantastic.,1
The teacher explained why the experiment failed.,1
What does John think Susan will have cooked for dinner?,0
Whose dog did you see chasing the squirrel up the tree?,0
Who did you tell what the plan was?,0
Which color did the artist paint on the canvas?,1
Whose idea of success is he challenging in the debate?,1
How many people do you think will attend the event?,1
Whose book where found?,0
What did who say to whom?,0
Few linguistics students can be found in this building.,1
Not only have I not met many linguistics students but I also haven't had the chance to attend any of their seminars.,1
Why did each student choose that particular book?,1
Sally is needed to be there by me.,1
The dog barked to find his bone.,0
The car was stolen to claim the insurance money.,1
John wanting to win trained hard every day.,1
The cake was half-eaten.,1
The cake was uneaten.,0
The book was unread.,1
The cake was eaten by him without being noticed.,0
They considered her to have the potential to become a great leader.,1
The children were fed by him.,1
The students were misinformed about the test date.,1
The dog was untrained.,1
She considers him to be the most likely candidate for the job.,1
She wanted to quickly finish all her homework before the party.,1
I expected the team to all perform exceptionally well in the competition.,1
Will she ever have been finishing her project on time?,0
Have you ever been to such a thrilling concert before?,1
