sentence,label
There are new secretions from the parental units.,0
There is no wit or labored gags.,0
That loves its characters and is able to communicate something lovely about human nature.,1
It's quite satisfying to remain the same throughout.,0
The filmmakers could dredge up the worst revenge-of-the-nerds.,0
It's too tragic to think of such superficial treatment.,0
A small personal film with an emotional wallop can be turned out by the director of movies like patriot games.,1
Of sexy.,1
A depressed fifteen-year-old has suicidal poetry.,0
Most right- thinking films have more thought through.,1
Goes to crazy lengths.,0
People who complain that they don't make movies like they used to.,0
The part where nothing is happening.,0
This movie was terrible.,0
Give dignity to a dumb story.,0
The best musicians.,1
The movie was cold.,0
with his intelligence and subtleness.,1
A redundant concept.,0
Swimming is more about a young woman's face than it is aboutcasting an actress whose face makes her doubts and longings come true.,1
It is even better than the original.,1
"If you want to see it for a fringe feminist conspiracy theorist named dirty dick, watch it.",1
A happy expression on your face.,1
The performances come from the brave.,1
Unattractive and tasteless.,0
enriched by an imaginative cast of spirits.,1
The part where nothing's happening or the part where something's happening is worse.,0
In world cinema.,1
It's a good viewing alternative.,1
The plot is not complicated from start to finish.,0
The action is dull.,0
On all cylinders.,1
"This film is often preachy and poorly acted, and will find little interest in it.",0
The worst movie of the year.,0
Don't go through it.,0
There is a theme woven throughout this funny film.,1
"The real issues of marriage are tucked between the silly and crude storyline, and that's what I liked about it.",1
heroes,1
oblivious to the existence of the film,0
Very sharply.,1
The entire point of a shaggy dog story is that it goes nowhere.,0
Sometimes dry.,0
As they come they already have been recycled more times than I care to count.,0
His fourth feature covers this territory with wit and thought.,1
There is a 40 million dollar version of a game.,0
It's gorgeous and minimalist.,1
The best swords are cross swords.,1
As a feminist conspiracy theorist.,0
"He proves once again that he still has what it takes, with a stellar performance in a film.",1
disappointments,0
The horrors.,0
Any muddle that has ever been given us has been as vivid as any that has ever been given us.,1
There are many pointless things.,0
A beautiful thing.,1
Well-worn situations contrived.,0
A doa.,0
"If mapquest emails him point-to-point driving directions, ben bratt could find fame.",0
To be as subtle and touching as the son's room.,1
It starts with a legend.,1
It's far less sophisticated.,0
There are lots of funny stuff in this movie.,1
There was no apparent joy.,0
The video was shot on a digital camera.,0
"The film's ending has a question of what was it all for... a sour little movie at its core, an exploration of the emptiness that underlay the relentless gaiety of the 1920's.",0
"Though ford and neeson hold our interest, its just not a thrilling movie.",0
It is very funny.,1
We do not feel anything for these characters.,0
It's a lousy one.,0
The recording industry is in a current climate of mergers and downsizing.,0
"The overall experience is awesome, the storylines are woven together well, and the aerial shots are breathtaking.",1
Of the most disappointing things.,0
It sounds like a cruel deception carried out by men of marginal intelligence with reactionary ideas about women.,0
It seems fresh.,1
The history in the trash.,0
Eastwood is off his game as a director.,0
pays homage to turntablists,1
Weak.,0
skip this dreck.,0
There is very little laughs and little surprises.,0
The film is to affirm love's power.,1
They are a joy.,1
Generates.,1
Life is a bit much without the highs and lows.,1
A true and historically significant story is based on it.,1
The tribute was well rounded.,1
The actors don't produce enough heat when they first appear in a comedy to start a reaction.,0
Like a young Robert deniro.,1
khouri manages to keep the extremes of screwball farce and blood-curdling family intensity on one continuum.,1
It's fashioning an enjoyable entertainment.,1
A spiffy animated feature.,1
You can't believe anyone more central to the creation of bugsy than the caterer.,0
This smart-aleck movie tosses around some intriguing questions about the difference between human and robot life.,1
The moments are strung together.,0
", generous and weird artworks.",1
It doesn't follow the usual storyline in movies about the seamy underside of the criminal world.,1
It is funny yet.,1
They were over-the-top.,0
Robert duvall is it?,1
There is sudden and rich wisdom.,1
It's clear that washington has a new career ahead of him.,1
It is in memory.,1
New one.,1
This is a grating showcase.,0
Don't tear your eyes away from the pictures.,1
One of the worst titles in recent cinematic history was added to it.,0
This gender-bending comedy is quite funny.,1
"If you want to make a movie about a killer website movie of this or any other year, build some robots, haul them to the theater with you for the late show, and put on your own mystery science theatre 3000 tribute.",0
Do you work in concert?,0
"The direction has no-nonsense authority and the performances by harris, phifer and cam  ron seal the deal.",1
I would have liked it more if it had gone one step further.,1
It's too hard to tell a story as a piece.,0
hawaiian shirt,1
A feature film takes a classic story and casts attractive and talented actors and uses a beautiful landscape to create a film that is fun to watch.,1
Provide its most pleasurable pleasures.,1
It's too slight to be called a masterpiece.,0
But grievous.,0
"You will have forgotten about the movie by the time you get back to your car in the parking lot, after laughing once or twice.",0
It's hard to see how it's possible to be hopeless.,0
"Unusual, charming, quirky, original.",1
nicks and steinberg match their own creations for pure venality.,0
Well-written and well-acted.,1
There are not many conclusive answers in the film.,0
"clumsy dialogue, heavy-handed phoney-feeling sentiment",0
"It is a little too cute to be true, unfortunately.",0
Bring tissues.,1
The film's mid-to-low budget is betrayed by the shoddy makeup work.,0
The proper conviction was brought to his role.,1
"As a young woman of great charm, generosity and diplomacy.",1
There's something touching about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us,1
It was just too silly.,0
cinematic,1
It's unentertaining to watch middle-age.,0
A lively and engaging examination of how similar obsessions can dominate a family.,1
It irritates.,0
collapse.,0
One can forgive the film's flaws because of the many challenges it poses.,1
It's a great primer for the region's recent history that would make a great 10th- grade learning tool.,1
All the way through.,1
I think it's vain.,0
It's one excuse to play one lewd scene after another.,0
Is effective if you stick with it.,1
Family tradition and community are important.,1
It promises a look at the  wild ride' that ensues when the young men set out to conquer the online world with laptops and cell phones.,1
This is a family-friendly comedy.,0
Absolutely and completely ridiculous.,0
It's a very good rock and roll movie.,1
"The movie is lacking in suspense, surprise, and emotional conviction.",0
realistic portrayal.,1
As if trying to grab a lump of play-doh is hard.,0
Well-thought stunts.,1
It reveals how important our special talents are when placed in service of others.,1
No lika.,0
A sense of relief.,1
Digital filmmaking has promise.,1
Just one that could wait on your pay per view dollar.,0
The death camp of auschwitz was a simulation.,0
extraordinary faith.,1
Have I watched a film that's willing to show the fall of the human heart?,1
Sometimes beautiful adaptation.,1
It is as interesting.,0
