sentence,label
I'm giving up after one more pseudo generalization.,1
I'm giving up if there is one more pseudo generalization.,1
"The more we study verbs, the more crazy they get.",1
The facts are getting murkier.,1
I'll make you a drink.,1
Fred watered the plants.,1
Bill coughed his way out of the restaurant,1
We are dancing the night away.,1
The metal was hammered by Herman.,1
The play was laughed at by the critics.,1
The pond was cold.,1
Bill walked out of the room.,1
The gardener watered the flowers.,1
The gardener watered the flowers.,1
Bill broke the tub.,1
Bill broke a bathtub.,1
They drank from a bottle.,1
They had a drink at the pub.,0
The professor was talking to us.,1
The professor spoke to us.,0
We yelled loudly.,1
We yelled at each other.,0
We yelled at Harry.,0
Harry coughed into a fit.,1
Harry coughed himself.,0
Harry was into a fit.,0
Bill went into the forest.,1
We traveled from South Dakota to San Francisco on Highway 5.,1
Fred tracked the leak's origin.,1
John was dancing in the room.,1
Bill urinated out of a window.,1
Bill coughed out the window.,1
Bill was bleeding on the floor.,1
The toilet leaked into the kitchen.,1
Bill ate off the floor.,1
Bill drank from the water.,1
The metal hammers are easy to use.,1
They made him president.,1
They made him angry.,1
They made him angry.,0
They made him the president.,0
They made him tired.,0
He was made into a monster.,1
The trolley moved through the tunnel.,1
The wagon was moving down the road.,1
The house was hit by bullets.,1
The candidate groaned as he climbed up the stairs.,1
The car was driving down the road.,0
The dog was out of the room.,0
The dog ran out of the room.,1
Bill whistled his way past the house.,1
The witch left the forest.,1
Bill went down the road.,1
The witch vanished into the forest.,0
The witch went into the forest.,1
The building is large,1
The building is tall.,0
The building is larger than that one.,1
The building was taller and wider than that one.,1
The building grew taller and taller.,1
The building is taller than average.,0
The building got better than that one.,0
This building is more similar to that one.,0
Bill entered the cave.,1
Bill spent hours in the cave.,0
Bill pushed Harry off the sofa.,0
Bill was on the river for hours.,1
Bill went down the river.,1
Bill pushed Harry along the trail.,1
Bill pushed Harry.,1
The road went down the hill.,1
The rope was stretched over the pulley.,1
The rope was stretched over the pulley.,1
The rope was stretched over the pulley.,1
Sam was able to cut himself free.,1
Sam cut his finger to get free.,1
Bill was crying to sleep.,1
Bill cried to sleep.,0
Bill was able to squeeze himself through the hole.,1
Bill wanted to sleep.,1
Bill squeezed the puppet.,1
Bill told Sue to sleep.,1
The elevator moved to the ground.,0
