sentence,label
New secretions are hidden from the parents.,0
There is no wit or labored gags.,0
That loves its characters and is able to communicate something beautiful about human nature.,1
It is utterly satisfied to remain the same.,0
The worst revenge-of-the-nerds clich̩s could be dredged up by the filmmakers.,0
It's too tragic to get such superficial treatment.,0
"The director of such blockbusters as patriot games can still turn out a small, personal film with an emotional wallop.",1
Of sensuality.,1
A depressed fifteen-year-old has suicidal poetry.,0
Most right- thinking films are more thought through.,1
goes to absurd lengths.,0
They do not make movies like they used to.,0
The part where nothing is happening.,0
This movie was terrible.,0
"To a dumb story, lend some dignity.",0
The greatest musicians.,1
The movie was cold.,0
with his intelligence and subtleness.,1
There is a redundant concept.,0
Swimming is more about a young woman's face than it is about an actress who projects her doubts and longings.,1
It is even better than the original.,1
"If you want to see a film about a fringe feminist conspiracy theorist named dirty dick, see it for Karen black.",1
A happy expression on your face.,1
It comes from the brave.,1
It was excruciatingly unfunny and pathetic.,0
enriched by a mixed cast of spirits.,1
The part where nothing is happening is worse than the part where something is happening.,0
In world cinema.,1
Very good viewing option.,1
The plot is nothing more than a bunch of clich̩s.,0
The action is not good.,0
on all cylinders.,1
"This film is often preachy and poorly acted, so it will find little interest in it.",0
The worst movie of the year is by far this one.,0
Sit through.,0
The best man in this film is a clone.,1
The real issues of marriage are tucked between the silly and crude storyline and I liked that about it.,1
heroes,1
oblivious to the film,0
It was very sharply.,1
The entire point of a shaggy dog story is that it goes nowhere.,0
Sometimes it is dry.,0
I would not care to count the number of times they have been recycled.,0
His fourth feature suggests that he covers this territory with wit.,1
A game is worth 40 million dollars.,0
It's gorgeous and minimalist.,1
Cross swords with the best of them.,1
As a feminist conspiracy theorist.,0
He brought off a superb performance in a mediocre film.,1
disappointments,0
The horrors.,0
Any scorsese has ever given us a muddle with bloody beauty.,1
Many pointless things.,0
A beautiful thing.,1
"contrived, well-worn situations",0
A doa.,0
"If mapquest sent him point-to-point driving directions, ben bratt could find fame.",0
To be as subtle as the son's room.,1
It starts with a legend.,1
It is far less sophisticated.,0
There are a lot of funny things in this movie.,1
There was no apparent joy.,0
The video was shot on a digital camera.,0
"The film's ending has a question, what was it all for?",0
"Though ford and neeson hold our interest, it's just not a thrilling movie.",0
It is pretty funny.,1
We don't feel anything for these characters.,0
It's a lousy one.,0
The recording industry is in a current climate of mergers and downsizing.,0
"The overall experience is awesome, the storylines are woven together nicely, and the aerial shots are breathtaking.",1
Of the most disappointing things.,0
It sounds like a cruel deception carried out by men of marginal intelligence with reactionary ideas about women.,0
seem fresh,1
To the bottom of history.,0
Eastwood is no longer a director.,0
pays homage to turntablists,1
Weak and weak.,0
skip this stunt.,0
There are very few laughs and no surprises.,0
A film is made to affirm love's power.,1
are wonderful.,1
Generates.,1
Life is fun without the highs and lows.,1
A true and historically significant story is based on it.,1
A well-rounded tribute.,1
"Many of the actors throw off a spark or two when they first appear, but they don't generate enough heat to start a reaction.",0
It's like a young Robert deniro.,1
khouri manages to keep the extremes of screwball farce and blood-curdling family intensity on one continuum.,1
It's fashioning an entertainment out.,1
spiffy animated feature,1
It's so sloppily written and cast that you can't believe anyone more central to the creation of bugsy than the caterer.,0
This smart-aleck movie tosses around some intriguing questions about the difference between human and robot life.,1
There are moments that are strung together.,0
", generous and provocative artworks.",1
It does not follow the standard connect-the-dots storyline that has become commonplace in movies that explore the seamy underside of the criminal world.,1
It's funny yet.,1
It was over-the-top.,0
Robert duvall is it?,1
There is sudden and rich wisdom.,1
It's clear that washington has a new career in front of him.,1
In memory.,1
New one is respectable.,1
This is a grating showcase.,0
You should not look at the images long enough to read the subtitles.,1
One of the worst titles in recent cinematic history has been added to the mix.,0
The comedy is quite funny.,1
"If you want to make a killer website movie of this or any other year, build some robots, haul them to the theater with you for the late show, and put on your own mystery science theatre 3000 tribute.",0
Do you work in concert?,0
"The direction has a fluid authority and the performances by harris, phifer and cam ron seal the deal.",1
It would have been nicer if it had just gone further.,1
It's too harsh to tell a story.,0
A shirt.,1
"A feature film is fun to watch because it takes a classic story, casts attractive and talented actors and uses a magnificent landscape.",1
Provide its most pleasurable pleasures.,1
It's too slight to be called a masterpiece.,0
grievous,0
You will forget the movie by the time you get back to your car in the parking lot after you laugh a few times.,0
It is impossible.,0
", charming, quirky, original.",1
nicks and steinberg are matching their own creations for pure venality.,0
Well-written and well-acted.,1
There are not many conclusive answers in the film.,0
"clumsy dialogue, heavy-handed phoney-feeling sentiment",0
"Unfortunately, it is a little too cute for its own good.",0
Bring tissues.,1
The film's budget is betrayed by the shoddy makeup work.,0
The proper conviction is brought to his role.,1
"A young woman with great charm, generosity and diplomacy.",1
There is something poignant about an artist of 90 years taking the effort to share his impressions of life and loss and time and art with us.,1
It was just too silly.,0
cinematic,1
It is unentertaining to watch middle-age.,0
A lively and engaging examination of how similar obsessions can dominate a family.,1
It irritates.,0
collapse,0
One can forgive the film's flaws because it poses so many challenges for itself.,1
It would make a great 10th- grade learning tool because it serves as a primer for the region's recent history.,1
All the way through.,1
I think that it's vain.,0
It's one excuse to play one lewd scene after another.,0
"If you stick with it, it will be effective.",1
The importance of family tradition is underscored.,1
The film promises a look at the  wild ride' that ensues when young men set out to conquer the online world with laptops and cell phones.,1
This is a family-friendly comedy.,0
Absolutely and completely ridiculous.,0
A very nice rock and roll movie.,1
"The movie is almost completely lacking in suspense, surprise and emotional conviction.",0
realistic portrayal,1
"The harder that liman tries to squeeze his story, the more he tries to grab a lump of play-doh.",0
Well-thought stunts or,1
It shows how important our special talents are when used for others.,1
No lika.,0
A sigh of relief.,1
Digital filmmaking has a promise.,1
It's easy to wait for your pay per view dollar.,0
There is a simulation of the death camp of auschwitz.,0
extraordinary faith.,1
Is there a film that is willing to show the fall of the human heart?,1
Sometimes beautiful adaptation.,1
It is about as interesting.,0
"Caruso makes sure the salton sea works the way a good noir should, keeping it tight and nasty.",1
Overlong and grandiose.,0
Derivative and hammily.,0
It is the most audacious and outrageous.,1
At its best times.,1
Disney Archives were taken over for a sequel.,0
That final scene is beautiful.,1
Some movies are great despite their flaws.,1
"eats, meddles, argues, laughs, and fights.",1
The problem with the film is whether the ambitions justify a theatrical simulation of the death camp of auschwitz.,0
Compelling.,1
infectiously.,1
"The picture is 84 minutes long, but it is not looked at.",1
Think of the dog in a movie.,0
The romance genre has been rejuvenated by the procession of sweeping pictures.,1
Those films could have been better.,0
A film that is not very good.,1
Imax is short.,1
I don't like it.,0
It's pleasant and oozing with attractive men.,1
No one involved shows any interest in acting.,0
In this movie.,0
"pokes, provokes, takes expressionistic license.",1
It goes on for at least 90 more minutes and you have to pay if you want to see it.,0
It's a good time with color and depth.,1
"silly, outrageous, ingenious.",1
Being able to hit on a child when you're older.,0
The story of trouble every day is so vague that it's hard to piece it together.,0
The year's best comedy is unpredictable.,1
You feel like running out screaming when the start is so bad.,0
The sci-fi comedy spectacle is called whiffle-ball epic.,0
Elvira fans could not ask for more.,1
A good one.,1
The picture is slow.,0
The character dramas never reach satisfying conclusions.,0
"This time, it was lost in the translation.",0
Speak for it while you ponder what a movie can be.,1
It allows shafer to navigate both large and small spaces.,1
A plot cobbled together from boring moments.,0
It was awful.,0
It was told in fashion.,0
It takes chances that are bold.,1
jason takes a backseat in his film to special effects,0
Only thing to fear is dot com.,0
The whole mess.,0
The rocky path to sibling reconciliation is infused with flashes of warmth and gentle humor by this person.,1
ozpetek avoids most of the pitfalls you would expect in a potentially sudsy set-up.,1
A girl in bar # 3 has credits on her r̩sum̩.,0
Enjoy the ride.,1
It's not much to add beyond the visions already relayed.,0
snail-like pacing.,0
A film is very unpleasant.,0
It gives exposure to some talented performers if it is persuasive.,1
The whole affair feels hokey.,0
All of the things we have seen before.,0
It was poignant and leavened.,1
breathless anticipation.,1
It is significantly better.,1
As predictable as the tides.,0
It was brilliant and entertaining.,1
It's smooth and professional.,1
", submissive.",0
The horror.,0
A film that is technically superb.,1
The change in tone seems to have rejuvenated him.,1
"pays homage to jugglers, old schoolers and current innovators",1
A dim.,0
It was vicious and absurd.,0
He acts goofy all the time.,0
Even cranky adults may rediscover the quivering kid inside.,1
It's at once laughable and addictive.,1
It was 103 minutes long.,1
The term epic cinema has value and respect.,1
As a dentist's waiting room.,0
Showing honest emotions.,1
Amazingly boring.,0
confessions may not be straightforward.,0
It seems a disappointingly thin slice of lower-class london life.,0
The story is not true.,0
This comic gem is as good as it is derivative.,1
To spare animals.,1
The shabby digital photography is ugly.,0
There is a difference between dumb fun and dumb stupidity.,0
Traditionally structured.,1
Many a hollywood romance is different from frida.,0
It points the way for indian filmmakers to get into nonethnic markets.,1
"If you think of a good time, they are worth the price of admission.",1
"jerry bruckheimer and joel schumacher both directed and produced it, and it shows the worst of their shallow styles: wildly overproduced, inadequately motivated every step of the way and demographically targeted to please everyone.",0
carnage,0
The video-CAM footage was degraded.,0
second fiddle.,0
The folly of superficiality is itself.,0
Its clumsiness is its most damning censure.,0
An oscar nomination was secured by a tedious norwegian offering.,0
Esther kahn is unusual but also annoying.,0
A stylish exercise.,1
I was beginning to dislike it halfway through the picture.,0
A setup that is easy borders on easy.,0
A terrible movie.,0
Takes hold and grips it hard.,1
Look blurry and to the point of distraction.,0
The picture is fascinating.,1
"Weapons, martial arts, computer effects and jagged camera moves are all filmed.",0
The rhythms were distracted.,0
This mess is more than that.,0
It was seamless and sumptuous.,1
It was slick and manufactured to claim street credibility.,1
A quintet of actresses perform take care.,1
Valuable messages.,1
"Thanks to lau, in no small part.",1
Two guys want to be quentin tarantino when they grow up.,0
There are no new plot ideas.,0
A collection of bits.,0
Does it bode well for the rest of it?,0
The kind of movie that is elevated by it.,1
It's usual worst.,0
Hugh grant has a good line in charm.,1
Arrive early and stay late.,1
There are moments of genuine insight into the urban heart in the movie.,1
I could have used more time to watch being john malkovich.,0
The shot was artful and watery.,1
